DATASET_TITLE,National Statistics 2001 Area Classification of Local Authorities: Distance from Centroids,,,,,,FROM,6/1/01,6/1/01,6/1/01,6/1/01,6/1/01,6/1/01
AREA_TYPE,Local Authority,,,,,,TO,6/1/01,6/1/01,6/1/01,6/1/01,6/1/01,6/1/01
GEO_HIERARCHY,NeSS Geography Hierarchy,,,,,,HEADING,Supergroup,Euclidean Distance from Supergroup Centroid,Group,Euclidean Distance from Group Centroid,Subgroup,Euclidean Distance from Subgroup Centroid
,,,,,,,MEASUREMENT_UNIT,Classification,Euclidean Distance,Classification,Euclidean Distance,Classification,Euclidean Distance
,,,,,,,STATISTICAL_UNIT,Areas,Distance,Areas,Distance,Areas,Distance
GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
E,East Midlands,17,Derbyshire,17UD,Chesterfield,,,7,2.13,7.12,2.95,7.12.22,2.33
E,East Midlands,17,Derbyshire,17UF,Derbyshire Dales,,,5,4.19,5.7,2.81,5.7.13,1.52
E,East Midlands,17,Derbyshire,17UG,Erewash,,,7,2.19,7.12,1.19,7.12.22,0.9
E,East Midlands,17,Derbyshire,17UH,High Peak,,,5,2.14,5.7,1.84,5.7.14,2.19
E,East Midlands,17,Derbyshire,17UJ,North East Derbyshire,,,7,4.12,7.12,3.27,7.12.22,2.77
E,East Midlands,17,Derbyshire,17UK,South Derbyshire,,,5,2.04,5.7,1.72,5.7.14,0.89
E,East Midlands,31,Leicestershire,31UB,Blaby,,,5,3.34,5.7,3.31,5.7.14,2.09
E,East Midlands,31,Leicestershire,31UC,Charnwood,,,5,3.37,5.7,3.39,5.7.12,2.59
E,East Midlands,31,Leicestershire,31UD,Harborough,,,5,2.29,5.7,2.19,5.7.14,1.58
E,East Midlands,31,Leicestershire,31UE,Hinckley and Bosworth,,,5,2.27,5.7,1.76,5.7.14,1.05
E,East Midlands,31,Leicestershire,31UG,Melton,,,5,1.77,5.7,1.38,5.7.14,1.02
E,East Midlands,31,Leicestershire,31UH,North West Leicestershire,,,5,1.9,5.7,1.54,5.7.14,0.87
E,East Midlands,31,Leicestershire,31UJ,Oadby and Wigston,,,5,6.33,5.7,6.53,5.7.12,4.86
E,East Midlands,32,Lincolnshire,32UB,Boston,,,5,8.16,5.7,6.6,5.7.13,5.82
E,East Midlands,32,Lincolnshire,32UC,East Lindsey,,,6,2.5,6.10,2.5,6.10.17,2.11
E,East Midlands,32,Lincolnshire,32UD,Lincoln,,,1,4.02,1.1,3.66,1.1.1,3.66
E,East Midlands,32,Lincolnshire,32UE,North Kesteven,,,5,2,5.7,1.3,5.7.13,1.06
E,East Midlands,32,Lincolnshire,32UF,South Holland,,,5,8.4,5.7,7,5.7.13,5.99
E,East Midlands,32,Lincolnshire,32UG,South Kesteven,,,5,1.06,5.7,0.8,5.7.14,0.66
E,East Midlands,32,Lincolnshire,32UH,West Lindsey,,,5,3.44,5.7,2.28,5.7.13,1.39
E,East Midlands,34,Northamptonshire,34UB,Corby,,,7,6.86,7.12,6.82,7.12.22,6.46
E,East Midlands,34,Northamptonshire,34UC,Daventry,,,5,2.42,5.7,2.71,5.7.14,1.41
E,East Midlands,34,Northamptonshire,34UD,East Northamptonshire,,,5,1.65,5.7,1.89,5.7.14,0.71
E,East Midlands,34,Northamptonshire,34UE,Kettering,,,5,1.98,5.7,1.9,5.7.14,1.4
E,East Midlands,34,Northamptonshire,34UF,Northampton,,,5,4.39,5.8,1.21,5.8.15,1.21
E,East Midlands,34,Northamptonshire,34UG,South Northamptonshire,,,5,2.38,5.7,2.77,5.7.14,1.51
E,East Midlands,34,Northamptonshire,34UH,Wellingborough,,,5,4.1,5.8,2.31,5.8.15,2.31
E,East Midlands,37,Nottinghamshire,37UB,Ashfield,,,7,1.98,7.12,1.35,7.12.22,0.99
E,East Midlands,37,Nottinghamshire,37UC,Bassetlaw,,,7,2.67,7.12,1.9,7.12.22,1.58
E,East Midlands,37,Nottinghamshire,37UD,Broxtowe,,,5,1.63,5.7,1.43,5.7.12,1.08
E,East Midlands,37,Nottinghamshire,37UE,Gedling,,,5,2.42,5.7,1.93,5.7.12,1.89
E,East Midlands,37,Nottinghamshire,37UF,Mansfield,,,7,1.86,7.12,1.95,7.12.22,1.66
E,East Midlands,37,Nottinghamshire,37UG,Newark and Sherwood,,,5,2.28,5.7,1.51,5.7.13,1.47
E,East Midlands,37,Nottinghamshire,37UJ,Rushcliffe,,,5,2.31,5.7,2.46,5.7.12,2.44
F,West Midlands,,,00CN,Birmingham,,,1,12.52,1.2,7.49,1.2.3,2.53
F,West Midlands,,,00CQ,Coventry,,,1,2.85,1.2,2.11,1.2.2,3.23
F,West Midlands,,,00CR,Dudley,,,7,3.26,7.12,2.63,7.12.22,2.29
F,West Midlands,,,00CS,Sandwell,,,1,7.77,1.2,3.02,1.2.3,3.56
F,West Midlands,,,00CT,Solihull,,,5,1.51,5.7,1.97,5.7.12,1.62
F,West Midlands,,,00CU,Walsall,,,1,5.96,1.2,2.73,1.2.2,2.54
F,West Midlands,,,00CW,Wolverhampton,,,1,6.18,1.2,3.12,1.2.3,2.39
F,West Midlands,,,00GA,"Herefordshire, County of",,,5,3.29,5.7,2.17,5.7.13,1.01
F,West Midlands,,,00GF,Telford and Wrekin,,,7,3.07,7.12,1.98,7.12.22,2.29
F,West Midlands,,,00GL,Stoke-on-Trent,,,7,2.35,7.11,2.27,7.11.20,1.92
F,West Midlands,39,Shropshire,39UB,Bridgnorth,,,5,3.76,5.7,2.88,5.7.13,2.05
F,West Midlands,39,Shropshire,39UC,North Shropshire,,,5,3.46,5.7,2.48,5.7.13,1.39
F,West Midlands,39,Shropshire,39UD,Oswestry,,,5,3.58,5.7,2.38,5.7.13,2.07
F,West Midlands,39,Shropshire,39UE,Shrewsbury and Atcham,,,5,2.38,5.7,1.55,5.7.13,1.44
F,West Midlands,39,Shropshire,39UF,South Shropshire,,,6,4.26,6.10,4.26,6.10.17,2.66
F,West Midlands,41,Staffordshire,41UB,Cannock Chase,,,7,3.37,7.12,1.53,7.12.22,1.6
F,West Midlands,41,Staffordshire,41UC,East Staffordshire,,,7,3.43,7.12,2.23,7.12.22,2.16
F,West Midlands,41,Staffordshire,41UD,Lichfield,,,5,1.58,5.7,1.12,5.7.14,0.86
F,West Midlands,41,Staffordshire,41UE,Newcastle-under-Lyme,,,7,2.46,7.12,2.23,7.12.22,1.74
F,West Midlands,41,Staffordshire,41UF,South Staffordshire,,,5,2.88,5.7,2.22,5.7.14,1.82
F,West Midlands,41,Staffordshire,41UG,Stafford,,,5,1.86,5.7,1.09,5.7.13,1.46
F,West Midlands,41,Staffordshire,41UH,Staffordshire Moorlands,,,5,3.39,5.7,2.17,5.7.13,2.26
F,West Midlands,41,Staffordshire,41UK,Tamworth,,,7,4.8,7.12,2.91,7.12.22,3.25
F,West Midlands,44,Warwickshire,44UB,North Warwickshire,,,5,1.91,5.7,1.52,5.7.14,1.02
F,West Midlands,44,Warwickshire,44UC,Nuneaton and Bedworth,,,7,2.12,7.12,1.19,7.12.22,1.04
F,West Midlands,44,Warwickshire,44UD,Rugby,,,5,1.22,5.7,1.33,5.7.14,1.18
F,West Midlands,44,Warwickshire,44UE,Stratford-on-Avon,,,5,2.22,5.7,1.83,5.7.13,1.44
F,West Midlands,44,Warwickshire,44UF,Warwick,,,5,3.12,5.7,3.47,5.7.12,1.99
F,West Midlands,47,Worcestershire,47UB,Bromsgrove,,,5,2.32,5.7,1.77,5.7.14,2.08
F,West Midlands,47,Worcestershire,47UC,Malvern Hills,,,5,3.53,5.7,2.43,5.7.13,1.3
F,West Midlands,47,Worcestershire,47UD,Redditch,,,7,3.63,7.12,2.28,7.12.22,2.34
F,West Midlands,47,Worcestershire,47UE,Worcester,,,5,3.66,5.8,3.12,5.8.15,3.12
F,West Midlands,47,Worcestershire,47UF,Wychavon,,,5,1.61,5.7,1.02,5.7.13,0.92
F,West Midlands,47,Worcestershire,47UG,Wyre Forest,,,5,2.45,5.7,1.6,5.7.14,1.89
G,East of England,,,00JA,Peterborough,,,5,6.08,5.8,2.34,5.8.15,2.34
G,East of England,,,00KA,Luton,,,2,7.78,2.4,7.78,2.4.6,6.79
G,East of England,,,00KF,Southend-on-Sea,,,1,6.19,1.1,5.3,1.1.1,5.3
G,East of England,,,00KG,Thurrock,,,5,6.94,5.8,1.9,5.8.15,1.9
G,East of England,09,Bedfordshire,09UC,Mid Bedfordshire,,,5,2.15,5.7,3.13,5.7.14,1.63
G,East of England,09,Bedfordshire,09UD,Bedford,,,5,3.12,5.8,3.02,5.8.15,3.02
G,East of England,09,Bedfordshire,09UE,South Bedfordshire,,,5,2.08,5.7,3.03,5.7.14,1.56
G,East of England,12,Cambridgeshire,12UB,Cambridge,,,1,19.63,1.3,12.14,1.3.4,0.48
G,East of England,12,Cambridgeshire,12UC,East Cambridgeshire,,,5,1.8,5.7,1.86,5.7.14,1.52
G,East of England,12,Cambridgeshire,12UD,Fenland,,,5,3.51,5.7,2.9,5.7.14,2.8
G,East of England,12,Cambridgeshire,12UE,Huntingdonshire,,,5,2.06,5.7,2.82,5.7.14,1.51
G,East of England,12,Cambridgeshire,12UG,South Cambridgeshire,,,5,2.75,5.9,2.12,5.9.16,2.12
